scale_x,scale_y,pass_count,sequence_pass_count,error_pass_count,total_error_m,failed_files
0.98,0.98,13,16,14,6.262192,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.96,0.98,13,16,14,6.535341,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.94,1.02,13,15,15,6.112856,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.00,0.96,13,15,15,6.263995,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv"
1.00,0.94,13,15,15,6.518448,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv"
0.96,1.02,13,15,14,6.701639,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.96,1.04,13,15,14,6.752889,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.94,1.06,13,14,14,7.139896,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.98,0.96,12,15,14,6.680462,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.94,1.00,11,15,13,6.772851,"实际上没有碰到信标灯-最终坐标1,4.csv | 实际上没有碰到信标灯-最终坐标3,3(第二次).csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.94,0.98,11,15,13,6.950928,"实际上没有碰到信标灯-最终坐标1,4.csv | 实际上没有碰到信标灯-最终坐标3,3(第二次).csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.96,0.96,11,15,13,6.975642,"实际上没有碰到信标灯-最终坐标1,4.csv | 实际上没有碰到信标灯-最终坐标3,3(第二次).csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.98,0.94,11,15,13,7.553826,"实际上没有碰到信标灯-最终坐标1,4.csv | 实际上没有碰到信标灯-最终坐标3,3(第二次).csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.96,0.94,11,15,13,7.830963,"实际上没有碰到信标灯-最终坐标1,4.csv | 实际上没有碰到信标灯-最终坐标3,3(第二次).csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
1.06,0.94,11,15,12,5.944907,"实际上没有碰到信标灯-最终坐标1,4.csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过6,4,3号信标灯-最终坐标3,2.csv | 经过7,6,4号信标灯-最终坐标2,1.csv | 经过7号信标灯-最终坐标3,2.csv"
0.94,0.96,10,14,12,7.384192,"实际上没有碰到信标灯-最终坐标1,4.csv | 实际上没有碰到信标灯-最终坐标3,3(第二次).csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
0.94,0.94,10,14,12,8.146157,"实际上没有碰到信标灯-最终坐标1,4.csv | 实际上没有碰到信标灯-最终坐标3,3(第二次).csv | 经过2,3号信标灯-最终坐标1,3.csv | 经过3号信标灯-最终坐标3,2.csv | 经过4号信标灯-最终坐标1,3.csv | 经过6,3号信标灯-最终坐标5,3.csv | 经过6,4,3号信标灯-最终坐标1,4.csv | 经过7,6,4号信标灯-最终坐标2,1.csv"
