I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.437500,-24.625000,2.256758,11.941177,-55.117645,2.326213,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,65.199493,0.368431,0.170243,0.405862,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.437500,-24.625000,2.256758,11.941177,-55.117645,2.326213,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,65.190788,0.367808,0.170023,0.405204,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.437500,-24.625000,2.256758,11.941177,-55.117645,2.326213,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,65.185127,0.367402,0.169879,0.404776,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.437500,-24.625000,2.256758,11.941177,-55.117645,2.326213,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,65.181450,0.367139,0.169786,0.404498,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.437500,-24.625000,2.256758,11.941177,-55.117645,2.326213,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,65.179062,0.366967,0.169726,0.404317,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.437500,-24.625000,2.256758,11.941177,-55.117645,2.326213,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,65.177505,0.366856,0.169686,0.404199,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.941177,-55.117645,2.326213,85.428574,-24.428574,2.111004,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,62.538399,0.359391,0.186781,0.405030,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.941177,-55.117645,2.326213,85.428574,-24.428574,2.111004,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,60.822979,0.354110,0.197719,0.405569,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.941177,-55.117645,2.326213,85.428574,-24.428574,2.111004,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,59.707958,0.350498,0.204749,0.405920,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.941177,-55.117645,2.326213,85.428574,-24.428574,2.111004,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,58.983192,0.348076,0.209284,0.406149,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.941177,-55.117645,2.326213,85.428574,-24.428574,2.111004,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,58.512096,0.346470,0.212216,0.406297,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.941177,-55.117645,2.326213,85.428574,-24.428574,2.111004,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,58.205883,0.345413,0.214116,0.406393,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.941177,-55.117645,2.326213,85.428574,-24.428574,2.111004,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,58.006844,0.344720,0.215348,0.406456,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,-55.000000,2.326213,85.285713,-24.285713,2.111004,-42.199997,-59.680000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.874432,0.344256,0.216165,0.406496,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,-55.000000,2.326213,85.285713,-24.285713,2.111004,-42.000000,-59.590908,2.646284,-73.333328,17.555557,2.393654,1.000000,57.519585,0.345747,0.220099,0.409859,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,-55.000000,2.326213,85.285713,-24.285713,2.111004,-42.000000,-59.590908,2.646284,-73.333328,17.555557,2.393654,1.000000,57.288933,0.346697,0.222670,0.412045,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,-55.000000,2.326213,85.285713,-24.285713,2.111004,-42.000000,-59.590908,2.646284,-73.333328,17.555557,2.393654,1.000000,57.139011,0.347307,0.224348,0.413466,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,-55.000000,2.326213,85.285713,-24.285713,2.111004,-42.000000,-59.590908,2.646284,-73.333328,17.555557,2.393654,1.000000,57.041561,0.347699,0.225440,0.414389,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,-55.000000,2.326213,85.285713,-24.285713,2.111004,-42.000000,-59.590908,2.646284,-73.333328,17.555557,2.393654,1.000000,56.978218,0.347953,0.226152,0.414989,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,-55.000000,2.326213,85.285713,-24.285713,2.111004,-42.000000,-59.590908,2.646284,-73.333328,17.555557,2.393654,1.000000,56.937046,0.348118,0.226615,0.415379,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.875000,-54.937500,2.256758,85.230766,-24.153847,2.034214,-42.000000,-59.590908,2.646284,-73.333328,17.555557,2.393654,1.000000,57.051376,0.350642,0.227263,0.417850,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.875000,-54.937500,2.256758,85.230766,-24.153847,2.034214,-42.125000,-59.333332,2.763953,-73.333328,17.555557,2.393654,1.000000,57.309746,0.351051,0.225286,0.417122,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.875000,-54.937500,2.256758,85.230766,-24.153847,2.034214,-42.125000,-59.333332,2.763953,-73.333328,17.555557,2.393654,1.000000,57.477688,0.351311,0.224002,0.416649,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.875000,-54.937500,2.256758,85.230766,-24.153847,2.034214,-42.125000,-59.333332,2.763953,-73.333328,17.555557,2.393654,1.000000,57.586849,0.351477,0.223168,0.416341,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.875000,-54.937500,2.256758,85.230766,-24.153847,2.034214,-42.125000,-59.333332,2.763953,-73.333328,17.555557,2.393654,1.000000,57.657803,0.351585,0.222625,0.416141,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.875000,-54.937500,2.256758,85.230766,-24.153847,2.034214,-42.125000,-59.333332,2.763953,-73.333328,17.555557,2.393654,1.000000,57.703922,0.351654,0.222273,0.416012,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.875000,-54.937500,2.256758,85.230766,-24.153847,2.034214,-42.125000,-59.333332,2.763953,-73.333328,17.555557,2.393654,1.000000,57.733902,0.351699,0.222044,0.415927,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.230766,-24.153847,2.034214,-42.125000,-59.333332,2.763953,-73.333328,17.555557,2.393654,1.000000,57.576431,0.349907,0.222260,0.414529,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.230766,-24.153847,2.034214,-42.160004,-59.240002,2.820948,-73.333328,17.555557,2.393654,1.000000,57.564034,0.348178,0.221267,0.412537,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.230766,-24.153847,2.034214,-42.160004,-59.240002,2.820948,-73.333328,17.555557,2.393654,1.000000,57.555973,0.347053,0.220621,0.411242,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.230766,-24.153847,2.034214,-42.160004,-59.240002,2.820948,-73.333328,17.555557,2.393654,1.000000,57.550735,0.346323,0.220201,0.410400,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.230766,-24.153847,2.034214,-42.160004,-59.240002,2.820948,-73.333328,17.555557,2.393654,1.000000,57.547333,0.345848,0.219928,0.409853,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.230766,-24.153847,2.034214,-42.160004,-59.240002,2.820948,-73.333328,17.555557,2.393654,1.000000,57.545120,0.345540,0.219751,0.409497,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.230766,-24.153847,2.034214,-42.160004,-59.240002,2.820948,-73.333328,17.555557,2.393654,1.000000,57.543682,0.345339,0.219635,0.409266,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.160004,-59.240002,2.820948,-73.333328,17.555557,2.393654,1.000000,57.579681,0.343431,0.218119,0.406843,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.583641,0.342117,0.217251,0.405267,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.586216,0.341262,0.216687,0.404243,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.587891,0.340706,0.216320,0.403578,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.588978,0.340345,0.216082,0.403145,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.589684,0.340111,0.215927,0.402864,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.590145,0.339958,0.215826,0.402681,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.590443,0.339859,0.215761,0.402563,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.590637,0.339794,0.215718,0.402485,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.590763,0.339752,0.215690,0.402435,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.590847,0.339725,0.215672,0.402403,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
