file,frame_index,expected_count,camera_counts,fused_count,count_match,cluster_id,evidence_count,mean_x,mean_y,mean_radius,members
100cm_1灯.csv,67,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,68,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,69,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,70,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,71,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,72,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,73,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,74,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,75,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,76,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,77,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,78,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,79,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,80,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,81,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,82,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,83,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,84,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,85,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,86,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,87,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,88,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,89,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
