file,frame_index,expected_count,camera_counts,output_count,count_match,beacon_index,bearing_deg,range_proxy_mm,radius_mean,observation_count,source_camera_mask,confidence,fill_mode
"2灯_(-175,50)_(-40,-100).csv",9577,2,1/2/1,2,1,0,136.187800,1368.301026,3.800333,3,7,0.914027,observed
"2灯_(-175,50)_(-40,-100).csv",9577,2,1/2/1,2,1,1,-154.858582,2114.680765,2.459000,1,2,0.566720,observed
"2灯_(-175,50)_(-40,-100).csv",9578,2,1/2/1,2,1,0,143.160072,1373.118564,3.787000,3,7,0.912960,observed
"2灯_(-175,50)_(-40,-100).csv",9578,2,1/2/1,2,1,1,-144.128621,2061.038446,2.523000,1,2,0.571840,observed
"2灯_(-175,50)_(-40,-100).csv",9579,2,1/2/1,2,1,0,143.160072,1373.118564,3.787000,3,7,0.912960,observed
"2灯_(-175,50)_(-40,-100).csv",9579,2,1/2/1,2,1,1,-144.128621,2061.038446,2.523000,1,2,0.571840,observed
"2灯_(-175,50)_(-40,-100).csv",9580,2,1/2/1,2,1,0,147.012518,1386.050644,3.751667,3,7,0.910133,observed
"2灯_(-175,50)_(-40,-100).csv",9580,2,1/2/1,2,1,1,-144.128621,2061.038446,2.523000,1,2,0.571840,observed
"2灯_(-175,50)_(-40,-100).csv",9581,2,1/2/1,2,1,0,145.219808,1395.224041,3.727000,3,7,0.908160,observed
"2灯_(-175,50)_(-40,-100).csv",9581,2,1/2/1,2,1,1,-144.128621,2061.038446,2.523000,1,2,0.571840,observed
"2灯_(-175,50)_(-40,-100).csv",9582,2,1/2/1,2,1,0,145.219808,1395.224041,3.727000,3,7,0.908160,observed
"2灯_(-175,50)_(-40,-100).csv",9582,2,1/2/1,2,1,1,-144.128621,2061.038446,2.523000,1,2,0.571840,observed
"2灯_(-175,50)_(-40,-100).csv",9583,2,1/2/1,2,1,0,145.219808,1395.224041,3.727000,3,7,0.908160,observed
"2灯_(-175,50)_(-40,-100).csv",9583,2,1/2/1,2,1,1,-144.128621,2061.038446,2.523000,1,2,0.571840,observed
"2灯_(-175,50)_(-40,-100).csv",9584,2,1/2/1,2,1,0,145.219808,1395.224041,3.727000,3,7,0.908160,observed
"2灯_(-175,50)_(-40,-100).csv",9584,2,1/2/1,2,1,1,-144.128621,2061.038446,2.523000,1,2,0.571840,observed
"2灯_(-175,50)_(-40,-100).csv",9585,2,1/2/1,2,1,0,145.219808,1395.224041,3.727000,3,7,0.908160,observed
"2灯_(-175,50)_(-40,-100).csv",9585,2,1/2/1,2,1,1,-144.128621,2061.038446,2.523000,1,2,0.571840,observed
"2灯_(-175,50)_(-40,-100).csv",9586,2,1/2/1,2,1,0,148.668785,1409.214092,3.690000,3,7,0.905200,observed
"2灯_(-175,50)_(-40,-100).csv",9586,2,1/2/1,2,1,1,-144.128621,2061.038446,2.523000,1,2,0.571840,observed
"2灯_(-175,50)_(-40,-100).csv",9587,2,1/2/1,2,1,0,153.554335,1445.247360,3.598000,3,7,0.897840,observed
"2灯_(-175,50)_(-40,-100).csv",9587,2,1/2/1,2,1,1,-135.474430,2114.680765,2.459000,1,2,0.566720,observed
"2灯_(-175,50)_(-40,-100).csv",9588,2,1/2/1,2,1,0,153.554335,1445.247360,3.598000,3,7,0.897840,observed
"2灯_(-175,50)_(-40,-100).csv",9588,2,1/2/1,2,1,1,-135.474430,2114.680765,2.459000,1,2,0.566720,observed
