file,frame_index,status,expected_count,camera0_count,camera1_count,camera2_count,fused_count,cluster_id,observed_member_count,synthetic,mean_x,mean_y,mean_size,quality,members
100cm_1灯.csv,53,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,54,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,55,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,56,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,57,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,58,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,59,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,60,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,61,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,62,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,63,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,64,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,65,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,66,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,67,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,68,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,69,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,70,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,71,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,72,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,73,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,74,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,75,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,76,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,77,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,78,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
100cm_1灯.csv,79,ok,1,0,0,0,1,0,0,1,0.000000,0.000000,0.000000,0.000000,synthetic_missing
