I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37
45.888889,55.777779,2.931615,26.666666,89.277779,3.385138,0.000000,0.000000,0.000000,135.097565,72.268295,3.612576,164.884613,87.500000,2.876814,46.619049,57.523811,2.585442,161.151520,82.848488,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,71.803131,1045.115723,29.940998,1091.507202,-42.339138,1182.085693,0.000000,0.000000,0.000000,0.000000
45.888889,55.777779,2.931615,26.666666,89.277779,3.385138,0.000000,0.000000,0.000000,135.097565,72.268295,3.612576,164.884613,87.500000,2.876814,46.619049,57.523811,2.585442,161.151520,82.848488,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,71.811096,1044.969238,29.940430,1091.577026,-42.376682,1182.108276,0.000000,0.000000,0.000000,0.000000
45.888889,55.777779,2.931615,26.666666,89.277779,3.385138,0.000000,0.000000,0.000000,135.097565,72.268295,3.612576,164.884613,87.500000,2.876814,46.619049,57.523811,2.585442,161.151520,82.848488,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,71.816284,1044.873901,29.940062,1091.622437,-42.401089,1182.123169,0.000000,0.000000,0.000000,0.000000
45.888889,55.777779,2.931615,26.666666,89.277779,3.385138,0.000000,0.000000,0.000000,135.097565,72.268295,3.612576,164.884613,87.500000,2.876814,46.619049,57.523811,2.585442,161.151520,82.848488,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,71.819649,1044.811890,29.939819,1091.651978,-42.416946,1182.133179,0.000000,0.000000,0.000000,0.000000
45.888889,55.777779,2.931615,26.666666,89.277779,3.385138,0.000000,0.000000,0.000000,135.097565,72.268295,3.612576,164.884613,87.500000,2.876814,46.619049,57.523811,2.585442,161.151520,82.848488,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,71.821838,1044.771729,29.939665,1091.671143,-42.427258,1182.139526,0.000000,0.000000,0.000000,0.000000
45.888889,55.777779,2.931615,26.666666,89.277779,3.385138,0.000000,0.000000,0.000000,135.097565,72.268295,3.612576,164.884613,87.500000,2.876814,46.619049,57.523811,2.585442,161.151520,82.848488,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,71.823273,1044.745483,29.939564,1091.683716,-42.433964,1182.143799,0.000000,0.000000,0.000000,0.000000
45.888889,55.777779,2.931615,26.666666,89.277779,3.385138,0.000000,0.000000,0.000000,135.097565,72.268295,3.612576,164.884613,87.500000,2.876814,46.619049,57.523811,2.585442,161.225800,82.677422,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,71.824188,1044.728516,29.939497,1091.691650,-42.502113,1183.313721,0.000000,0.000000,0.000000,0.000000
45.888889,55.777779,2.931615,26.666666,89.277779,3.385138,0.000000,0.000000,0.000000,134.928574,72.142860,3.656366,164.919998,87.400002,2.820948,46.619049,57.523811,2.585442,161.225800,82.677422,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,71.742775,1044.074707,29.939453,1091.697021,-42.546337,1184.075073,0.000000,0.000000,0.000000,0.000000
26.578947,89.394737,3.477898,45.769230,55.846153,2.876814,0.000000,0.000000,0.000000,134.928574,72.142860,3.656366,164.919998,87.400002,2.820948,46.619049,57.523811,2.585442,161.225800,82.677422,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.893429,1092.074707,71.791954,1036.381348,-42.575054,1184.570435,0.000000,0.000000,0.000000,0.000000
26.578947,89.394737,3.477898,45.769230,55.846153,2.876814,0.000000,0.000000,0.000000,134.928574,72.142860,3.656366,164.919998,87.400002,2.820948,46.619049,57.523811,2.585442,161.225800,82.677422,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.863525,1092.320801,71.824318,1031.381104,-42.593708,1184.892456,0.000000,0.000000,0.000000,0.000000
