I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.301888,-17.584908,4.107362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.078651,-16.101120,5.322554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.301888,-17.584908,4.107362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.078651,-16.101120,5.322554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.301888,-17.584908,4.107362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.078651,-16.101120,5.322554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.301888,-17.584908,4.107362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.078651,-16.101120,5.322554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.301888,-17.584908,4.107362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.078651,-16.101120,5.322554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.301888,-17.584908,4.107362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.078651,-16.101120,5.322554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.301888,-17.584908,4.107362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.078651,-16.101120,5.322554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.450981,-17.705879,4.029119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.904762,-16.273811,5.170883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.450981,-17.705879,4.029119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.904762,-16.273811,5.170883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.450981,-17.705879,4.029119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.904762,-16.273811,5.170883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.450981,-17.705879,4.029119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.904762,-16.273811,5.170883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.450981,-17.705879,4.029119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.904762,-16.273811,5.170883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.450981,-17.705879,4.029119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.904762,-16.273811,5.170883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.450981,-17.705879,4.029119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.904762,-16.273811,5.170883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.944443,-17.611115,4.145930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.746986,-16.903618,5.140012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.944443,-17.611115,4.145930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.746986,-16.903618,5.140012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.944443,-17.611115,4.145930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.746986,-16.903618,5.140012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.944443,-17.611115,4.145930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.746986,-16.903618,5.140012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
