I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
27.000000,0.009277,0.002930,0.009390,0.004212,-0.576276,-0.006563,0.000229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,-0.000003,0.000073,-0.001294,0.000002,-0.000003,0.000000,0.000000
28.000000,0.009766,0.002930,0.009378,0.004242,-0.576187,-0.006549,0.000229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,-0.000005,-0.000044,-0.001637,0.000002,-0.000005,0.000000,0.000000
29.000000,0.011230,0.004883,0.009366,0.004275,-0.576097,-0.006529,0.000230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,-0.000007,-0.000172,-0.002008,0.000002,-0.000007,0.000000,0.000000
30.000000,0.008789,0.004395,0.009352,0.004311,-0.576006,-0.006504,0.000230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,-0.000009,-0.000310,-0.002408,0.000002,-0.000009,0.000000,0.000000
32.000000,0.007324,0.003906,0.009322,0.004390,-0.575815,-0.006447,0.000230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000006,-0.000607,-0.003247,-0.000001,-0.000006,0.000000,0.000000
33.000000,0.005371,0.007324,0.009306,0.004434,-0.575714,-0.006419,0.000230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000010,-0.000772,-0.003736,-0.000002,-0.000010,0.000000,0.000000
34.000000,0.007813,0.003906,0.009289,0.004481,-0.575609,-0.006392,0.000231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000014,-0.000945,-0.004253,-0.000003,-0.000014,0.000000,0.000000
35.000000,0.009277,0.003418,0.009271,0.004530,-0.575501,-0.006367,0.000231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,-0.000019,-0.001125,-0.004800,-0.000004,-0.000019,0.000000,0.000000
36.000000,0.009277,0.004395,0.009252,0.004582,-0.575391,-0.006343,0.000231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,-0.000024,-0.001314,-0.005376,-0.000005,-0.000024,0.000000,0.000000
37.000000,0.010742,0.004395,0.009233,0.004637,-0.575278,-0.006321,0.000231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,-0.000030,-0.001509,-0.005979,-0.000007,-0.000030,0.000000,0.000000
38.000000,0.008789,0.003418,0.009213,0.004694,-0.575162,-0.006299,0.000232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,-0.000037,-0.001713,-0.006610,-0.000008,-0.000037,0.000000,0.000000
39.000000,0.008789,0.003906,0.009191,0.004753,-0.575044,-0.006277,0.000232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,-0.000044,-0.001924,-0.007268,-0.000010,-0.000044,0.000000,0.000000
40.000000,0.006836,0.005371,0.009170,0.004815,-0.574926,-0.006251,0.000232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000013,-0.000052,-0.002144,-0.007952,-0.000013,-0.000052,0.000000,0.000000
42.000000,0.009766,0.006348,0.009123,0.004946,-0.574691,-0.006194,0.000232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,-0.000018,-0.002564,-0.009234,-0.000005,-0.000018,0.000000,0.000000
44.000000,0.009766,0.003906,0.009074,0.005086,-0.574472,-0.006148,0.000233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,-0.000038,-0.003056,-0.010766,-0.000011,-0.000038,0.000000,0.000000
45.000000,0.010254,0.002930,0.009049,0.005159,-0.574369,-0.006133,0.000233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000014,-0.000050,-0.003312,-0.011564,-0.000014,-0.000050,0.000000,0.000000
46.000000,0.010254,0.002930,0.009022,0.005234,-0.574270,-0.006123,0.000234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000018,-0.000062,-0.003573,-0.012381,-0.000018,-0.000062,0.000000,0.000000
47.000000,0.008789,0.003418,0.008996,0.005311,-0.574174,-0.006117,0.000234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000021,-0.000076,-0.003839,-0.013217,-0.000021,-0.000076,0.000000,0.000000
48.000000,0.007324,0.002930,0.008968,0.005390,-0.574083,-0.006113,0.000235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000026,-0.000090,-0.004110,-0.014071,-0.000026,-0.000090,0.000000,0.000000
49.000000,0.008301,0.003906,0.008940,0.005470,-0.573997,-0.006111,0.000235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000030,-0.000105,-0.004387,-0.014942,-0.000030,-0.000105,0.000000,0.000000
50.000000,0.008301,0.003906,0.008911,0.005552,-0.573915,-0.006108,0.000236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000035,-0.000120,-0.004667,-0.015828,-0.000035,-0.000120,0.000000,0.000000
52.000000,0.011230,0.004395,0.008853,0.005720,-0.573761,-0.006086,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,-0.000034,-0.005149,-0.017324,-0.000010,-0.000034,0.000000,0.000000
53.000000,0.010254,0.001465,0.008823,0.005806,-0.573688,-0.006064,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000015,-0.000052,-0.005443,-0.018248,-0.000015,-0.000052,0.000000,0.000000
54.000000,0.011230,0.004883,0.008793,0.005893,-0.573616,-0.006038,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000021,-0.000071,-0.005742,-0.019183,-0.000021,-0.000071,0.000000,0.000000
55.000000,0.011230,0.004883,0.008763,0.005980,-0.573543,-0.006010,0.000238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000027,-0.000091,-0.006045,-0.020126,-0.000027,-0.000091,0.000000,0.000000
56.000000,0.008789,0.004883,0.008733,0.006069,-0.573469,-0.005979,0.000238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000034,-0.000112,-0.006350,-0.021077,-0.000034,-0.000112,0.000000,0.000000
57.000000,0.009277,0.006836,0.008702,0.006158,-0.573394,-0.005951,0.000238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000040,-0.000134,-0.006657,-0.022035,-0.000040,-0.000134,0.000000,0.000000
58.000000,0.009277,0.006836,0.008671,0.006247,-0.573317,-0.005926,0.000239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000047,-0.000157,-0.006964,-0.022998,-0.000047,-0.000157,0.000000,0.000000
59.000000,0.010742,0.003418,0.008640,0.006337,-0.573235,-0.005906,0.000239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000054,-0.000181,-0.007271,-0.023965,-0.000054,-0.000181,0.000000,0.000000
60.000000,0.007324,0.003418,0.008610,0.006428,-0.573145,-0.005891,0.000239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000062,-0.000206,-0.007576,-0.024935,-0.000062,-0.000206,0.000000,0.000000
62.000000,0.011719,0.005371,0.008549,0.006609,-0.572951,-0.005869,0.000241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000016,-0.000052,-0.008028,-0.026385,-0.000016,-0.000052,0.000000,0.000000
