I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
33027.000000,0.005859,0.000977,0.004200,0.008385,-0.224958,-0.184698,0.361012,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000008,0.000013,-0.000975,0.001597,-0.000008,0.000013,0.000000,0.000000
33028.000000,0.005371,0.004395,0.004205,0.008394,-0.224930,-0.184662,0.361012,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000009,0.000014,-0.000933,0.001509,-0.000009,0.000014,0.000000,0.000000
33029.000000,0.003418,0.003418,0.004209,0.008403,-0.224904,-0.184627,0.361013,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000010,0.000016,-0.000892,0.001417,-0.000010,0.000016,0.000000,0.000000
33030.000000,0.007813,0.002441,0.004213,0.008413,-0.224879,-0.184593,0.361013,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000010,0.000017,-0.000851,0.001322,-0.000010,0.000017,0.000000,0.000000
33033.000000,0.005859,0.001953,0.004225,0.008444,-0.224819,-0.184507,0.361014,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000002,0.000003,-0.000718,0.000995,-0.000002,0.000003,0.000000,0.000000
33034.000000,0.004883,0.003418,0.004229,0.008455,-0.224807,-0.184482,0.361014,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000003,0.000004,-0.000681,0.000892,-0.000003,0.000004,0.000000,0.000000
33035.000000,0.007324,0.005371,0.004232,0.008466,-0.224799,-0.184458,0.361015,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000004,0.000005,-0.000645,0.000789,-0.000004,0.000005,0.000000,0.000000
33036.000000,0.005859,0.003418,0.004235,0.008477,-0.224795,-0.184433,0.361015,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000004,0.000006,-0.000611,0.000686,-0.000004,0.000006,0.000000,0.000000
33037.000000,0.005371,0.002930,0.004239,0.008488,-0.224794,-0.184406,0.361015,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000005,0.000006,-0.000579,0.000584,-0.000005,0.000006,0.000000,0.000000
33038.000000,0.004395,0.000977,0.004242,0.008499,-0.224795,-0.184378,0.361016,0.000000,-0.000000,-0.000000,0.000000,-0.017582,-0.283558,-0.000005,0.000007,-0.000548,0.000482,-0.000005,0.000007,0.000000,0.000000
