I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
2.572165,0.049435,9.081828,549.614014,0.000000,-2.572165,-0.000000,-9.259794,-549.836670,0.000000,-2.227835,0.000000,-8.020205,-511.694946,0.000000,2.227835,0.000000,8.020205,511.154724,0.000000
2.574226,0.038525,9.128525,550.298645,0.000000,-2.574226,-0.000000,-9.267214,-550.531738,0.000000,-2.225774,0.000000,-8.012786,-512.295898,0.000000,2.225774,0.000000,8.012786,511.755676,0.000000
2.574226,0.030023,9.159132,550.985596,0.000000,-2.574226,-0.000000,-9.267215,-551.226746,0.000000,-2.225774,0.000000,-8.012786,-512.896912,0.000000,2.225774,0.000000,8.012786,512.356689,0.000000
2.472773,0.023397,8.817753,551.646912,0.000000,-2.472773,-0.000000,-8.901982,-551.894409,0.000000,-2.327227,0.000000,-8.378018,-513.525269,0.000000,2.327227,0.000000,8.378018,512.985046,0.000000
2.472773,0.018233,8.836342,552.309631,0.000000,-2.472773,-0.000000,-8.901982,-552.562073,0.000000,-2.327227,0.000000,-8.378018,-514.153625,0.000000,2.327227,0.000000,8.378018,513.613403,0.000000
2.520256,0.014209,9.021767,552.986267,0.000000,-2.520256,-0.000000,-9.072920,-553.242554,0.000000,-2.279745,0.000000,-8.207081,-514.769165,0.000000,2.279745,0.000000,8.207081,514.228943,0.000000
2.520256,0.011073,9.033055,553.663757,0.000000,-2.520256,-0.000000,-9.072920,-553.923035,0.000000,-2.279745,0.000000,-8.207081,-515.384705,0.000000,2.279745,0.000000,8.207081,514.844482,0.000000
2.570954,0.008630,9.224366,554.355591,0.000000,-2.570954,-0.000000,-9.255433,-554.617188,0.000000,-2.229047,0.000000,-8.024568,-515.986511,0.000000,2.229047,0.000000,8.024568,515.446289,0.000000
2.570954,0.006725,9.231222,555.047913,0.000000,-2.570954,-0.000000,-9.255433,-555.311401,0.000000,-2.229047,0.000000,-8.024568,-516.588379,0.000000,2.229047,0.000000,8.024568,516.048157,0.000000
2.520725,0.005241,9.055744,555.727051,0.000000,-2.520725,-0.000000,-9.074612,-555.992004,0.000000,-2.279275,0.000000,-8.205389,-517.203796,0.000000,2.279275,0.000000,8.205389,516.663513,0.000000
