I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27
33.974182,0.001488,348.235352,95.123543,96.579910,-33.974182,-0.000045,-366.921173,-95.127579,-98.139626,-34.425819,0.000158,-414.831116,-96.392731,-101.060341,34.425819,0.056149,419.994995,96.235077,98.911102,0.068022,0.747521,-0.225111,0.078768,-0.014173,0.018103,0.014518,0.000041
33.974182,0.000914,348.235352,95.125145,100.656700,-33.974182,-0.000027,-366.921173,-95.127632,-102.216530,-34.425819,0.000097,-414.831116,-96.392563,-105.191444,34.425819,0.034476,419.994995,96.295753,103.038063,0.068375,0.748687,-0.224379,0.094112,0.065224,0.276144,0.014074,-0.000282
33.510757,0.386561,343.485260,92.747742,104.631607,-33.510757,-0.000017,-361.916199,-93.830078,-106.237823,-34.889244,0.000059,-420.415405,-97.690056,-109.378159,34.889244,0.021168,425.648773,97.630615,107.222237,0.068069,0.749440,-0.221556,0.036039,-0.024320,0.306338,0.014917,0.000539
33.510757,0.237348,343.485260,93.165550,108.624420,-33.510757,-0.000010,-361.916199,-93.830086,-110.259109,-34.889244,0.000036,-420.415405,-97.689987,-113.564873,34.889244,0.012997,425.648773,97.653488,111.407387,0.067039,0.750381,-0.220130,0.120461,-0.066990,-0.049684,0.016132,0.003984
33.694519,0.531732,345.368805,92.855804,112.603951,-33.694519,-0.000006,-363.900818,-94.344627,-114.302452,-32.305481,0.000022,-389.281067,-90.455406,-117.441528,32.305481,0.393980,394.126892,89.352203,115.236763,0.063070,0.753319,-0.223435,0.061897,0.122818,-0.570777,0.018462,0.009065
33.694519,0.326483,345.368805,93.430496,116.608116,-33.694519,-0.000004,-363.900818,-94.344643,-118.345795,-32.305481,0.000014,-389.281067,-90.455391,-121.318192,32.305481,0.627904,394.126892,88.697220,119.038071,0.057005,0.755986,-0.230731,-0.012764,-0.298549,-0.759330,0.020329,0.010330
33.084339,0.200461,339.114471,92.074852,120.554176,-33.084339,-0.000002,-357.310852,-92.636139,-122.315918,-32.915661,0.000008,-396.633728,-92.163872,-125.268074,32.915661,0.385533,401.571045,91.084358,122.941681,0.053251,0.756642,-0.235500,0.078703,-0.178663,-0.180545,0.018540,0.002445
33.084339,0.509083,339.114471,91.210716,124.463203,-33.084339,-0.000001,-357.310852,-92.636147,-126.286034,-32.915661,0.000005,-396.633728,-92.163857,-129.217957,32.915661,0.622717,401.571045,90.420235,126.816841,0.054398,0.759272,-0.234337,-0.072221,0.165385,0.347647,0.016187,-0.005007
30.393702,1.084577,311.535461,82.065544,127.980293,-30.393702,-0.000001,-328.251984,-85.102364,-129.933273,-35.606297,0.000003,-429.055908,-99.697639,-133.490707,35.606297,0.382348,434.396851,98.627060,131.043716,0.058466,0.763110,-0.225652,0.106874,0.266247,1.511967,0.019035,-0.010422
30.393702,1.051930,311.535461,82.156960,131.501312,-30.393702,-0.000001,-328.251984,-85.102364,-133.580521,-35.606297,0.000002,-429.055908,-99.697639,-137.763474,35.606297,0.234762,434.396851,99.040298,135.288315,0.063364,0.768090,-0.202003,0.083601,-0.310473,2.407230,0.023125,-0.003460
32.511509,1.803885,333.242950,85.981346,135.186218,-32.511509,-0.386000,-351.124298,-89.951416,-137.435577,-33.488491,0.000001,-403.536316,-93.767776,-141.782089,33.488491,0.916144,408.559570,91.202568,139.196991,0.059447,0.769935,-0.190848,-0.157082,-0.176846,0.159599,0.025390,0.015871
32.511509,1.879586,333.242950,85.769386,138.862061,-32.511509,-0.237004,-351.124298,-90.368614,-141.308517,-33.488491,0.000001,-403.536316,-93.767776,-145.800720,33.488491,0.948512,408.559570,91.111938,143.101791,0.041668,0.780958,-0.198036,-0.438807,0.262366,-1.525565,0.030956,0.034921
30.925714,2.312066,316.988586,80.118217,142.295700,-30.925714,-0.145521,-333.997711,-86.184540,-145.002136,-35.074284,0.000000,-422.645142,-98.207993,-150.009628,35.074284,1.740386,427.906250,93.334908,147.101852,0.022464,0.790470,-0.205415,0.415450,-0.173507,1.086993,0.036948,0.023550
30.925714,3.735608,316.988586,76.132294,145.558502,-30.925714,-0.089350,-333.997711,-86.341820,-148.702499,-35.074284,0.000000,-422.645142,-98.207993,-154.218552,35.074284,1.840597,427.906250,93.054314,151.089890,0.012279,0.807441,-0.179543,-0.254851,0.273896,3.240564,0.043572,0.013116
28.005630,4.609663,287.057709,65.508705,148.366028,-28.005630,-0.440861,-302.460815,-77.181351,-152.010269,-37.994370,0.000000,-457.832153,-106.384232,-158.777878,37.994370,2.288127,463.531311,99.977478,155.374634,0.005456,0.819992,-0.148151,0.138811,-1.102194,2.892190,0.043193,0.018079
28.005630,5.146333,287.057709,64.006027,151.109131,-28.005630,-0.656688,-302.460815,-76.577034,-155.292160,-37.994370,0.000000,-457.832153,-106.384232,-163.337204,37.994370,2.562910,463.531311,99.208092,159.626419,-0.008681,0.823874,-0.124317,0.214360,-0.049392,1.652111,0.032278,0.032145
34.006527,4.703849,348.566895,82.047493,154.625458,-34.006527,-0.789207,-367.270508,-93.008492,-159.278229,-31.993473,0.000000,-385.521362,-89.581726,-167.176437,31.993473,3.117627,390.320374,80.852371,163.091522,-0.026550,0.833731,-0.124536,0.182647,-0.064208,-1.132573,0.021285,0.037554
34.006527,4.432163,348.566895,82.808220,158.174377,-34.006527,-0.484573,-367.270508,-93.861465,-163.300873,-31.993473,0.000000,-385.521362,-89.581726,-171.015656,31.993473,3.844223,390.320374,78.817902,166.469437,-0.045883,0.831151,-0.141254,-0.680801,-0.101019,-2.183590,0.014709,0.022463
31.189587,4.265348,319.693268,75.387863,161.405289,-31.189587,-0.297528,-336.847534,-86.497765,-167.007919,-34.810413,0.000000,-419.465485,-97.469154,-175.192902,34.810413,3.904353,424.687042,86.536972,170.178162,-0.048660,0.832971,-0.153769,0.764780,0.023541,0.643064,0.014729,-0.014770
31.189587,4.162924,319.693268,75.674652,164.648483,-31.189587,-0.182682,-336.847534,-86.819328,-170.728745,-34.810413,0.000000,-419.465485,-97.469154,-179.370163,34.810413,3.555273,424.687042,87.514389,173.928772,-0.025984,0.823599,-0.130037,0.071467,-0.927091,2.675530,0.006852,-0.042198
32.385174,4.100035,331.948029,79.198387,168.042694,-32.385174,-0.112167,-349.759888,-90.364418,-174.601501,-33.614826,0.000000,-405.058655,-94.121513,-183.403946,33.614826,3.340937,410.100891,84.766891,177.561646,-0.004082,0.822918,-0.117772,0.084944,1.750722,-0.077061,-0.002090,-0.025892
32.385174,3.675422,331.948029,80.387299,171.487869,-32.385174,-0.068870,-349.759888,-90.485649,-178.479462,-33.614826,0.000000,-405.058655,-94.121513,-187.437729,33.614826,3.981336,410.100891,82.973778,181.117676,0.003509,0.827321,-0.124545,0.051917,0.603029,-1.068145,0.002263,0.003400
37.829102,3.028709,387.748291,97.441093,175.663910,-37.829102,-0.042286,-408.554321,-105.803085,-183.013885,-28.170898,0.000000,-339.459351,-78.878517,-190.818237,28.170898,3.988540,343.684967,67.710602,184.019562,-0.012324,0.820630,-0.148738,-0.076297,-1.024811,-3.486243,0.014929,0.033060
37.829102,3.017627,387.748291,97.472122,179.841293,-37.829102,-0.025964,-408.554321,-105.848785,-187.550247,-28.170898,-0.386000,-339.459351,-77.797714,-194.152420,28.170898,4.378963,343.684967,66.617416,186.874588,-0.024230,0.818760,-0.179271,0.392096,0.365525,-2.295842,0.021067,0.027014
32.437202,3.396823,332.481323,81.313057,183.326141,-32.437202,-0.015942,-350.321777,-90.779526,-191.440811,-35.962799,-0.237004,-433.351746,-100.032227,-198.439529,35.962799,4.232684,438.746155,88.844322,190.682205,-0.033954,0.835333,-0.186954,0.154831,1.230839,0.898569,0.029321,0.004611
32.437202,4.015649,332.481323,79.580345,186.736725,-32.437202,-0.009788,-350.321777,-90.796761,-195.332092,-35.962799,-0.145520,-433.351746,-100.288383,-202.737595,35.962799,4.142868,438.746155,89.095802,194.500595,-0.023014,0.848367,-0.159828,0.647530,-0.770789,3.647557,0.036159,-0.012923
32.544075,4.395609,333.576782,78.815704,190.114532,-32.544075,-0.006010,-351.476013,-91.106583,-199.236664,-35.855927,-0.089350,-432.063904,-100.146416,-207.029587,35.855927,3.701721,437.442291,90.031776,198.359100,-0.015901,0.845068,-0.134136,-0.279852,-1.004237,0.814269,0.022780,-0.002626
32.544075,4.242904,333.576782,79.243279,193.510681,-32.544075,-0.003690,-351.476013,-91.113083,-203.141510,-35.855927,-0.054861,-432.063904,-100.242989,-211.325714,35.855927,3.816857,437.442291,89.709396,202.203796,-0.017933,0.843126,-0.142132,0.196051,0.538337,-1.386791,0.004695,0.004688
37.176842,3.377143,381.062622,94.639153,197.566635,-37.176842,-0.002266,-401.509888,-104.088814,-207.602463,-28.823156,-0.033684,-347.319031,-80.610519,-214.780441,28.823156,4.273550,351.642517,68.738899,205.149734,-0.025075,0.835350,-0.164403,-0.703592,-0.545389,-2.970847,-0.004970,0.004780
37.176842,2.459566,381.062622,97.208374,201.732712,-37.176842,-0.001391,-401.509888,-104.091255,-212.063507,-28.823156,-0.020682,-347.319031,-80.646927,-218.236740,28.823156,4.167960,351.642517,69.034554,208.108353,-0.023138,0.813481,-0.190473,0.244848,-0.611279,-2.069524,-0.014840,-0.012362
32.386181,1.896173,331.958344,85.372017,205.391510,-32.386181,-0.000854,-349.770752,-90.678909,-215.949753,-33.613819,-0.012699,-405.046509,-94.083138,-222.268860,33.613819,3.331127,410.088593,84.791534,211.742279,-0.012395,0.793109,-0.201162,-0.413423,-0.003958,0.073740,-0.020062,-0.035918
32.386181,1.936250,331.958344,85.259804,209.045502,-32.386181,-0.000524,-349.770752,-90.679840,-219.836029,-33.613819,-0.007797,-405.046509,-94.096863,-226.301590,33.613819,2.431312,410.088593,87.311020,215.484177,0.018756,0.774145,-0.185137,0.663162,0.315754,2.245651,-0.023263,-0.050517
31.989191,1.574858,327.889191,85.160133,212.695221,-31.989191,-0.000322,-345.483276,-89.568832,-223.674698,-34.010807,-0.004787,-409.830231,-95.216850,-230.382309,34.010807,1.878826,414.931854,89.969543,219.340012,0.041553,0.760157,-0.171891,-0.420957,0.638600,0.356662,-0.020041,-0.035833
31.989191,1.352963,327.889191,85.781441,216.371567,-31.989191,-0.000198,-345.483276,-89.569176,-227.513367,-34.010807,-0.002939,-409.830231,-95.222023,-234.463257,34.010807,1.153599,414.931854,92.000183,223.282883,0.057876,0.744709,-0.173003,0.228622,-0.173536,-0.327135,-0.012209,-0.019425
32.106461,0.830719,329.091217,87.572075,220.124664,-32.106461,-0.000121,-346.749756,-89.897743,-231.366135,-33.893539,-0.001805,-408.417175,-94.896858,-238.530258,33.893539,0.708310,413.501190,92.918640,227.265091,0.065620,0.734812,-0.172710,0.088216,0.319305,0.273912,-0.001367,-0.012018
32.106461,0.510062,329.091217,88.469917,223.916229,-32.106461,-0.000075,-346.749756,-89.897873,-235.218887,-33.893539,-0.001108,-408.417175,-94.898804,-242.597351,33.893539,0.434902,413.501190,93.684181,231.280136,0.070912,0.730872,-0.172165,-0.000432,-0.099596,-0.187643,0.006932,-0.004477
