I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
-4.165096,0.000000,-17.493402,-194.260803,0.000000,-5.434905,-0.000513,-22.824444,-415.424133,0.000000,-8.965096,-0.001365,-37.647671,-683.162170,0.000000,-0.634904,-0.000681,-2.663739,-187.636703,0.000000
-4.165096,0.000000,-17.493402,-196.551605,0.000000,-5.434905,-0.000315,-22.825274,-418.413147,0.000000,-8.965096,-0.000838,-37.649883,-688.092529,0.000000,-0.634904,-0.000418,-2.664842,-187.985672,0.000000
-4.160138,0.000000,-17.472580,-198.839676,0.000000,-5.439862,-0.000193,-22.846607,-421.404968,0.000000,-8.960138,-0.000515,-37.630417,-693.020264,0.000000,-0.639862,-0.000257,-2.686342,-188.337463,0.000000
-4.160138,0.000000,-17.472580,-201.127747,0.000000,-5.439862,-0.000119,-22.846922,-424.396851,0.000000,-8.960138,-0.000316,-37.631252,-697.948181,0.000000,-0.639862,-0.000158,-2.686758,-188.689301,0.000000
-3.722481,0.000000,-15.634418,-203.175110,0.000000,-5.877520,-0.000073,-24.685274,-427.629456,0.000000,-8.522481,-0.000194,-35.793606,-702.635498,0.000000,-1.077520,-0.000097,-4.525177,-189.281876,0.000000
-3.722481,-0.386000,-14.013218,-205.010178,0.000000,-5.877520,-0.386045,-23.064192,-430.649750,0.000000,-8.522481,-0.000119,-35.793919,-707.322754,0.000000,-1.077520,-0.000059,-4.525333,-189.874481,0.000000
-4.231248,-0.237004,-16.775824,-207.207001,0.000000,-5.368752,-0.237031,-21.553226,-433.472198,0.000000,-9.031248,-0.386073,-36.309734,-712.077576,0.000000,-0.568752,-0.000036,-2.388607,-190.187271,0.000000
-4.231248,-0.145520,-17.160055,-209.454147,0.000000,-5.368752,-0.531537,-20.316301,-436.132660,0.000000,-9.031248,-0.237049,-36.935635,-716.914429,0.000000,-0.568752,-0.386022,-0.767466,-190.287781,0.000000
-4.291481,-0.475350,-16.027748,-211.553024,0.000000,-5.308520,-0.712364,-19.303854,-438.660522,0.000000,-9.091481,-0.531548,-35.951717,-721.622375,0.000000,-0.508520,-0.237018,-1.140307,-190.437119,0.000000
-4.291481,-0.677865,-15.177186,-213.540512,0.000000,-5.308520,-0.823391,-18.837538,-441.127350,0.000000,-9.091481,-0.326370,-36.813465,-726.443176,0.000000,-0.508520,-0.531529,0.096639,-190.424469,0.000000
